Squad,Players_used,90s,Tkl_attempted,TklW,Tkl_Def,Tkl_Mid,Tkl_Att,Drib_Tkl,Drib_chal,Drib_Tkl%,Chal_Lost,Blocks,Shots_blocked,Pass_blocked,Interceptions,Tkl+Int,Clr,Err_shot
Atlanta Utd,23,9.0,128,76,57,59,12,46,99,46.5,53,81,20,61,82,210,171,10
Austin,19,9.0,134,66,87,34,13,58,112,51.8,54,116,39,77,76,210,265,4
CF Montréal,26,9.0,145,93,51,72,22,63,117,53.8,54,77,19,58,75,220,208,10
Charlotte,19,9.0,116,77,55,47,14,62,131,47.3,69,110,48,62,63,179,232,4
Chicago Fire,23,9.0,120,63,57,42,21,60,120,50.0,60,107,25,82,98,218,228,11
Colorado Rapids,25,9.0,129,69,53,56,20,55,119,46.2,64,128,40,88,100,229,231,1
Columbus Crew,22,9.0,113,63,40,52,21,48,98,49.0,50,90,19,71,71,184,170,2
D.C. United,21,9.0,163,108,76,59,28,102,158,64.6,56,85,20,65,83,246,218,6
FC Cincinnati,23,9.0,152,97,73,57,22,75,130,57.7,55,117,44,73,70,222,272,5
FC Dallas,21,9.0,150,103,77,47,26,68,149,45.6,81,83,34,49,82,232,302,1
Houston Dynamo,23,9.0,144,89,82,48,14,72,130,55.4,58,77,15,62,87,231,223,6
Inter Miami,25,8.0,155,95,77,65,13,87,138,63.0,51,94,25,69,67,222,154,6
LA Galaxy,24,9.0,111,71,53,44,14,56,117,47.9,61,95,28,67,58,169,190,10
LAFC,23,9.0,140,91,69,52,19,75,136,55.1,61,120,35,85,79,219,235,5
Minnesota Utd,22,9.0,162,94,92,39,31,87,153,56.9,66,115,37,78,89,251,314,2
Nashville SC,21,9.0,142,84,64,60,18,61,134,45.5,73,91,23,68,91,233,211,3
NE Revolution,21,8.0,143,81,67,59,17,56,124,45.2,68,109,36,73,79,222,281,3
NY Red Bulls,23,9.0,161,112,60,79,22,83,162,51.2,79,103,22,81,82,243,247,1
NYCFC,20,9.0,149,79,61,70,18,91,173,52.6,82,113,36,77,89,238,259,5
Orlando City,23,9.0,153,99,84,49,20,63,121,52.1,58,114,29,85,62,215,274,3
Philadelphia Union,22,9.0,170,116,67,78,25,80,149,53.7,69,119,22,97,102,272,245,7
Portland Timbers,21,9.0,127,79,67,41,19,56,119,47.1,63,110,35,75,72,199,288,6
Real Salt Lake,22,9.0,127,80,61,49,17,52,106,49.1,54,92,28,64,74,201,192,4
San Diego FC,23,9.0,138,76,67,46,25,66,119,55.5,53,69,20,49,74,212,135,7
Seattle Sounders,24,9.0,144,92,51,60,33,78,132,59.1,54,86,23,63,90,234,180,7
SJ Earthquakes,24,9.0,151,85,61,69,21,88,157,56.1,69,100,26,74,106,257,245,6
Sporting KC,22,9.0,173,106,74,70,29,78,139,56.1,61,86,23,63,83,256,192,3
St. Louis,21,9.0,123,65,69,44,10,64,108,59.3,44,110,42,68,72,195,259,0
Toronto FC,25,9.0,177,95,86,67,24,88,160,55.0,72,88,25,63,80,257,255,5
Vancouver W'caps,25,9.0,157,90,69,58,30,68,120,56.7,52,100,25,75,89,246,224,3
