Squad,Players_used,90s,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_TotDist,Pass_PrgDist,ShortPass_Cmp,ShortPass_Att,ShortPass_Cmp%,MedPass_Cmp,MedPass_Att,MedPass_Cmp%,LongPass_Cmp,LongPass_Att,LongPass_Cmp%,Assists,xAG,xA,A-xAG,KeyPasses,Pass_FinalTrd,Pass_PenArea,Crs_PenArea,PrgP
Atlanta Utd,23,9.0,4021,4902,82.0,72792,26609,1674,1923,87.1,1889,2122,89.0,396,691,57.3,6,9.9,14.2,-3.9,95,363,81,22,401
Austin,19,9.0,3164,3895,81.2,57769,21494,1385,1534,90.3,1340,1519,88.2,364,655,55.6,5,8.1,8.6,-3.1,85,237,61,22,288
CF Montréal,26,9.0,3860,4777,80.8,69607,24391,1622,1837,88.3,1751,1996,87.7,396,706,56.1,3,7.2,8.3,-4.2,67,306,75,23,390
Charlotte,19,9.0,3541,4290,82.5,64041,22251,1483,1635,90.7,1664,1890,88.0,333,599,55.6,8,8.7,7.9,-0.7,68,244,60,9,344
Chicago Fire,23,9.0,3714,4487,82.8,61912,22629,1801,1991,90.5,1490,1703,87.5,305,524,58.2,10,10.4,7.5,-0.4,81,232,57,10,311
Colorado Rapids,25,9.0,2901,3839,75.6,50616,20139,1341,1532,87.5,1196,1445,82.8,275,647,42.5,8,9.6,12.5,-1.6,74,269,79,10,317
Columbus Crew,22,9.0,4846,5595,86.6,73500,26019,2624,2816,93.2,1757,1950,90.1,267,455,58.7,10,10.8,12.4,-0.8,88,400,100,16,442
D.C. United,21,9.0,3312,4316,76.7,61010,23913,1505,1754,85.8,1365,1613,84.6,383,740,51.8,9,9.1,11.1,-0.1,88,286,90,26,334
FC Cincinnati,23,9.0,3753,4638,80.9,65660,22790,1578,1812,87.1,1773,2011,88.2,317,580,54.7,7,7.8,9.8,-0.8,89,249,63,9,338
FC Dallas,21,9.0,3169,3991,79.4,55022,21757,1450,1675,86.6,1324,1560,84.9,311,531,58.6,6,8.1,9.7,-2.1,69,255,72,14,331
Houston Dynamo,23,9.0,4162,4961,83.9,65446,22894,2240,2439,91.8,1477,1664,88.8,294,568,51.8,8,6.7,9.0,1.3,69,296,71,17,379
Inter Miami,25,8.0,3730,4392,84.9,67131,23107,1593,1759,90.6,1727,1912,90.3,342,538,63.6,12,11.2,10.4,0.8,70,248,78,9,339
LA Galaxy,24,9.0,4295,4997,86.0,74096,23506,2002,2148,93.2,1828,2016,90.7,385,663,58.1,5,6.2,8.1,-1.2,76,387,62,5,340
LAFC,23,9.0,4149,4951,83.8,73539,25177,1855,2046,90.7,1867,2087,89.5,367,626,58.6,4,8.1,7.2,-4.1,75,371,64,13,394
Minnesota Utd,22,9.0,2256,3208,70.3,38663,17570,1135,1360,83.5,831,1088,76.4,233,541,43.1,9,11.5,10.6,-2.5,87,188,64,18,263
Nashville SC,21,9.0,3753,4630,81.1,66274,24905,1658,1874,88.5,1674,1930,86.7,358,618,57.9,9,9.3,9.4,-0.3,97,263,75,15,330
NE Revolution,21,8.0,2974,3756,79.2,54663,17930,1218,1371,88.8,1341,1545,86.8,340,612,55.6,2,4.7,5.5,-2.7,63,234,59,13,262
NY Red Bulls,23,9.0,3925,4814,81.5,66012,21391,1899,2084,91.1,1677,1920,87.3,277,572,48.4,6,8.1,7.9,-2.1,71,360,65,14,367
NYCFC,20,9.0,3921,4861,80.7,64133,23561,1971,2247,87.7,1583,1822,86.9,279,562,49.6,5,7.3,8.2,-2.3,79,342,75,14,379
Orlando City,23,9.0,3276,4063,80.6,60051,23203,1463,1639,89.3,1403,1613,87.0,356,640,55.6,12,11.1,8.8,0.9,102,282,76,15,347
Philadelphia Union,22,9.0,3078,4164,73.9,52777,21777,1483,1730,85.7,1228,1525,80.5,282,635,44.4,13,12.3,10.9,0.7,98,296,78,26,335
Portland Timbers,21,9.0,3703,4499,82.3,67439,25069,1542,1741,88.6,1752,1983,88.4,360,589,61.1,11,7.6,7.1,3.4,70,253,41,8,295
Real Salt Lake,22,9.0,4010,4853,82.6,71906,24161,1786,1977,90.3,1639,1884,87.0,460,726,63.4,5,7.5,7.9,-2.5,80,271,52,11,341
San Diego FC,23,9.0,4974,5750,86.5,81067,27966,2504,2713,92.3,1949,2156,90.4,369,592,62.3,13,11.3,12.4,1.7,91,374,101,13,428
Seattle Sounders,24,9.0,4383,5243,83.6,77316,26120,2002,2200,91.0,1904,2161,88.1,410,687,59.7,11,10.7,11.2,0.3,106,390,93,17,435
SJ Earthquakes,24,9.0,3307,4264,77.6,59744,22322,1400,1617,86.6,1410,1676,84.1,377,682,55.3,12,14.3,10.7,-2.3,110,282,82,24,376
Sporting KC,22,9.0,3821,4763,80.2,68855,22439,1716,1945,88.2,1566,1784,87.8,452,806,56.1,10,6.5,9.1,3.5,67,381,79,20,436
St. Louis,21,9.0,2947,3797,77.6,53544,21841,1276,1464,87.2,1275,1494,85.3,318,602,52.8,4,7.2,8.3,-3.2,71,206,67,16,289
Toronto FC,25,9.0,3137,3964,79.1,56540,20396,1356,1524,89.0,1392,1598,87.1,328,650,50.5,4,4.2,4.4,-0.2,47,280,44,13,279
Vancouver W'caps,25,9.0,4171,4925,84.7,75232,25235,1766,1927,91.6,1891,2118,89.3,422,649,65.0,12,12.3,14.4,-0.3,108,380,107,27,457
