Squad,Players_used,90s,Goals,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Shot_Dist,Shot_FK,PK_made,PKatt,xG,npxG,npxG/Sh,Goals-xG,np:Goals-xG
Atlanta Utd,23,9.0,9,117,39,33.3,13.0,4.33,0.07,0.21,16.0,2,1,1,12.9,12.1,0.11,-3.9,-4.1
Austin,19,9.0,7,111,30,27.0,12.33,3.33,0.06,0.23,18.6,2,0,1,12.0,11.2,0.1,-5.0,-4.2
CF Montréal,26,9.0,4,95,28,29.5,10.56,3.11,0.04,0.14,16.9,3,0,0,9.8,9.8,0.11,-5.8,-5.8
Charlotte,19,9.0,15,92,37,40.2,10.22,4.11,0.14,0.35,15.9,4,2,2,12.7,11.1,0.12,2.3,1.9
Chicago Fire,23,9.0,16,108,43,39.8,12.0,4.78,0.13,0.33,17.1,2,2,2,15.2,13.6,0.13,0.8,0.4
Colorado Rapids,25,9.0,13,99,26,26.3,11.0,2.89,0.1,0.38,17.3,6,3,3,14.0,11.6,0.13,-1.0,-1.6
Columbus Crew,22,9.0,11,113,40,35.4,12.56,4.44,0.1,0.28,17.3,6,0,0,13.6,13.6,0.12,-2.6,-2.6
D.C. United,21,9.0,11,113,42,37.2,12.56,4.67,0.09,0.24,15.7,4,1,2,12.9,11.5,0.1,-1.9,-1.5
FC Cincinnati,23,9.0,13,117,45,38.5,13.0,5.0,0.09,0.24,19.8,9,2,2,11.8,10.3,0.09,1.2,0.7
FC Dallas,21,9.0,10,86,25,29.1,9.56,2.78,0.12,0.4,16.8,2,0,2,11.6,10.2,0.12,-1.6,-0.2
Houston Dynamo,23,9.0,8,89,23,25.8,9.89,2.56,0.09,0.35,16.8,4,0,0,8.2,8.2,0.1,-0.2,-0.2
Inter Miami,25,8.0,13,87,37,42.5,10.87,4.62,0.15,0.35,16.9,6,0,0,13.2,13.2,0.15,-0.2,-0.2
LA Galaxy,24,9.0,6,96,28,29.2,10.67,3.11,0.06,0.21,18.9,5,0,0,7.3,7.3,0.08,-1.3,-1.3
LAFC,23,9.0,13,103,38,36.9,11.44,4.22,0.12,0.32,17.9,4,1,1,11.8,11.0,0.11,1.2,1.0
Minnesota Utd,22,9.0,11,121,46,38.0,13.44,5.11,0.08,0.22,15.5,3,1,1,15.4,14.7,0.13,-4.4,-4.7
Nashville SC,21,9.0,12,131,52,39.7,14.56,5.78,0.08,0.19,17.0,2,2,5,15.3,11.2,0.09,-3.3,-1.2
NE Revolution,21,8.0,5,81,23,28.4,10.13,2.87,0.04,0.13,19.3,4,2,2,7.4,5.9,0.07,-2.4,-2.9
NY Red Bulls,23,9.0,10,95,32,33.7,10.56,3.56,0.07,0.22,18.3,2,3,3,12.8,10.4,0.11,-2.8,-3.4
NYCFC,20,9.0,11,110,34,30.9,12.22,3.78,0.09,0.29,18.4,2,1,2,12.3,10.7,0.1,-1.3,-0.7
Orlando City,23,9.0,15,124,42,33.9,13.78,4.67,0.11,0.33,16.3,3,1,1,14.3,13.5,0.12,0.7,0.5
Philadelphia Union,22,9.0,16,137,48,35.0,15.22,5.33,0.12,0.33,18.0,4,0,1,15.7,14.7,0.11,0.3,1.3
Portland Timbers,21,9.0,14,93,41,44.1,10.33,4.56,0.14,0.32,17.3,3,1,1,10.7,9.9,0.11,3.3,3.1
Real Salt Lake,22,9.0,7,124,40,32.3,13.78,4.44,0.06,0.18,20.0,7,0,0,11.4,11.4,0.1,-4.4,-4.4
San Diego FC,23,9.0,15,118,42,35.6,13.11,4.67,0.13,0.36,16.6,6,0,0,14.4,14.4,0.13,0.6,0.6
Seattle Sounders,24,9.0,12,141,48,34.0,15.67,5.33,0.09,0.25,17.7,6,0,0,13.6,13.6,0.1,-1.6,-1.6
SJ Earthquakes,24,9.0,19,156,51,32.7,17.33,5.67,0.1,0.31,17.6,5,3,3,20.7,18.4,0.12,-1.7,-2.4
Sporting KC,22,9.0,14,86,32,37.2,9.56,3.56,0.14,0.38,17.4,4,2,3,10.3,8.0,0.09,3.7,4.0
St. Louis,21,9.0,5,99,30,30.3,11.0,3.33,0.05,0.17,15.9,2,0,0,10.3,10.3,0.11,-5.3,-5.3
Toronto FC,25,9.0,8,66,26,39.4,7.33,2.89,0.11,0.27,18.8,1,1,1,6.6,5.8,0.09,1.4,1.2
Vancouver W'caps,25,9.0,17,145,50,34.5,16.11,5.56,0.12,0.34,15.5,3,0,1,17.3,16.6,0.12,-0.3,0.4
