Player,Nation,Pos,Squad,Age,Born,90s,Tkl_attempted,TklW,Tkl_Def,Tkl_Mid,Tkl_Att,Drib_Tkl,Drib_chal,Drib_Tkl%,Chal_Lost,Blocks,Shots_blocked,Pass_blocked,Interceptions,Tkl+Int,Clr,Err_shot,Matches
Luis Abram,pe PER,DF,Atlanta Utd,29-067,1996,6.8,5,2,4,1,0,4,8,50.0,4,5,2,3,1,6,31,0,Matches
Lalas Abubakar,gh GHA,DF,FC Dallas,30-131,1994,2.0,5,4,2,2,1,3,4,75.0,1,2,1,1,5,10,16,0,Matches
Kellyn Acosta,us USA,MF,Chicago Fire,29-285,1995,4.3,4,2,2,2,0,2,4,50.0,2,3,0,3,5,9,6,0,Matches
Luciano Acosta,ar ARG,MF,FC Dallas,30-339,1994,10.2,15,12,3,6,6,6,18,33.3,12,8,0,8,3,18,10,0,Matches
Sam Adekugbe,ca CAN,DF,Vancouver W'caps,30-109,1995,1.9,1,1,0,1,0,1,1,100.0,0,1,0,1,3,4,4,0,Matches
Leonardo Afonso,br BRA,FW,Inter Miami,23-296,2001,0.8,2,0,0,1,1,0,0,,0,1,0,1,0,2,1,0,Matches
Stephen Afrifa,ca CAN,"FW,MF",Sporting KC,24-075,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
William Agada,ng NGA,FW,Sporting KC,25-230,1999,1.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
William Agada,ng NGA,FW,Real Salt Lake,25-230,1999,0.8,1,0,0,1,0,0,0,,0,1,1,0,0,1,2,0,Matches
Patrick Agyemang,us USA,FW,Charlotte,24-179,2000,8.6,3,2,0,3,0,1,4,25.0,3,4,0,4,1,4,13,0,Matches
Ali Ahmed,ca CAN,FW,Vancouver W'caps,24-207,2000,5.9,8,7,2,2,4,4,7,57.1,3,12,0,12,1,9,7,0,Matches
Forster Ajago,gh GHA,FW,Real Salt Lake,23-262,2001,2.9,5,3,2,2,1,1,2,50.0,1,2,0,2,0,5,3,0,Matches
Jordi Alba,es ESP,DF,Inter Miami,36-045,1989,8.4,6,5,2,4,0,2,5,40.0,3,10,4,6,5,11,15,1,Matches
Noah Allen,us USA,DF,Inter Miami,21-007,2004,7.3,15,11,11,4,0,6,9,66.7,3,9,0,9,6,21,26,0,Matches
Tadeo Allende,ar ARG,"FW,MF",Inter Miami,26-074,1999,4.5,2,1,1,0,1,2,4,50.0,2,2,1,1,1,3,6,0,Matches
Miguel Almirón,py PAR,"FW,MF",Atlanta Utd,31-084,1994,9.9,14,8,3,9,2,3,7,42.9,4,7,0,7,3,17,0,1,Matches
Alejandro Alvarado Jr.,us USA,MF,San Diego FC,21-280,2003,2.1,8,4,3,3,2,4,8,50.0,4,2,0,2,5,13,0,0,Matches
Fernando Álvarez,co COL,DF,CF Montréal,21-254,2003,4.6,9,6,2,4,3,5,7,71.4,2,6,1,5,6,15,22,2,Matches
