,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
0,1,Liel Abada,il ISR,"MF,FW",Charlotte,23-202,2001,5.7,13,2.29,8,0,1,4,0,0,2,0.35,1,0,0,1,0,0,Matches
1,2,Luis Abram,pe PER,DF,Atlanta Utd,29-055,1996,4.8,2,0.41,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2,3,Lalas Abubakar,gh GHA,"DF,MF",FC Dallas,30-119,1994,0.6,2,3.10,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
3,4,Kellyn Acosta,us USA,MF,Chicago Fire,29-273,1995,3.3,5,1.52,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
4,5,Luciano Acosta,ar ARG,MF,FC Dallas,30-327,1994,8.2,44,5.38,31,10,0,0,2,1,2,0.24,2,0,0,0,0,0,Matches
5,6,Sam Adekugbe,ca CAN,DF,Vancouver W'caps,30-097,1995,1.2,5,4.02,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
6,7,Leonardo Afonso,br BRA,FW,Inter Miami,23-284,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
7,8,Stephen Afrifa,ca CAN,MF,Sporting KC,24-063,2001,0.0,2,60.00,0,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
8,9,William Agada,ng NGA,FW,Sporting KC,25-218,1999,1.1,2,1.82,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
