Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Shot,SCA_Fld,SCA_DefAct,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Shot,GCA_Fld,GCA_DefAct
Luis Abram,pe PER,DF,Atlanta Utd,29-068,1996,6.8,2,0.29,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Lalas Abubakar,gh GHA,DF,FC Dallas,30-132,1994,2.0,2,0.99,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Kellyn Acosta,us USA,MF,Chicago Fire,29-286,1995,4.3,5,1.16,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Luciano Acosta,ar ARG,MF,FC Dallas,30-340,1994,10.2,51,5.02,35,13,0,0,2,1,2,0.20,2,0,0,0,0,0,Matches
Sam Adekugbe,ca CAN,DF,Vancouver W'caps,30-110,1995,1.9,5,2.63,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Leonardo Afonso,br BRA,FW,Inter Miami,23-297,2001,0.8,2,2.47,1,0,0,1,0,0,2,2.47,1,0,0,1,0,0,Matches
Stephen Afrifa,ca CAN,"FW,MF",Sporting KC,24-076,2001,0.1,2,22.50,0,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
William Agada,ng NGA,FW,Sporting KC,25-231,1999,1.1,2,1.82,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
William Agada,ng NGA,FW,Real Salt Lake,25-231,1999,0.8,1,1.30,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Patrick Agyemang,us USA,FW,Charlotte,24-180,2000,8.6,26,3.01,18,0,1,0,7,0,4,0.46,1,0,0,0,3,0,Matches
Ali Ahmed,ca CAN,FW,Vancouver W'caps,24-208,2000,5.9,35,5.94,31,0,3,0,0,1,7,1.19,7,0,0,0,0,0,Matches
Forster Ajago,gh GHA,FW,Real Salt Lake,23-263,2001,2.9,4,1.39,4,0,0,0,0,0,1,0.35,1,0,0,0,0,0,Matches
Jordi Alba,es ESP,DF,Inter Miami,36-046,1989,8.4,19,2.27,17,0,0,1,0,1,4,0.48,4,0,0,0,0,0,Matches
