Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,TO_Att,TO_Succ,TO_Succ%,TO_Tkld,TO_Tkld%,Carries,TotDist,PrgDist,PrgC,Carry1/3,Carry_PA,Mis,Dis,Pass_Rec,Pass_PrgR
Luis Abram,pe PER,DF,Atlanta Utd,29-067,1996,6.8,423,36,197,205,21,4,423,0,0,,0,,252,1140,706,4,4,1,1,0,298,3,Matches
Lalas Abubakar,gh GHA,DF,FC Dallas,30-131,1994,2.0,128,18,56,60,12,2,128,0,0,,0,,56,177,113,1,1,0,4,0,75,1,Matches
Kellyn Acosta,us USA,MF,Chicago Fire,29-285,1995,4.3,249,8,60,154,35,4,249,1,0,0.0,1,100.0,150,527,192,3,2,1,4,5,192,4,Matches
Luciano Acosta,ar ARG,MF,FC Dallas,30-339,1994,10.2,628,7,62,247,328,42,627,43,15,34.9,26,60.5,321,1676,946,35,25,12,23,13,424,76,Matches
Sam Adekugbe,ca CAN,DF,Vancouver W'caps,30-109,1995,1.9,174,5,26,93,55,4,174,1,0,0.0,1,100.0,109,521,244,6,1,0,6,0,136,19,Matches
Leonardo Afonso,br BRA,FW,Inter Miami,23-296,2001,0.8,30,1,1,11,18,3,30,1,0,0.0,1,100.0,17,44,23,1,0,1,6,2,21,7,Matches
Stephen Afrifa,ca CAN,"FW,MF",Sporting KC,24-075,2001,0.1,8,0,1,3,4,0,8,2,2,100.0,0,0.0,4,30,28,3,1,2,0,0,4,2,Matches
William Agada,ng NGA,FW,Sporting KC,25-230,1999,1.1,38,1,4,11,24,11,38,0,0,,0,,20,80,11,0,0,0,7,3,28,2,Matches
William Agada,ng NGA,FW,Real Salt Lake,25-230,1999,0.8,13,2,4,7,3,2,13,1,1,100.0,0,0.0,6,30,7,0,0,0,0,1,5,1,Matches
Patrick Agyemang,us USA,FW,Charlotte,24-179,2000,8.6,217,14,19,89,115,48,216,21,8,38.1,10,47.6,147,920,422,18,10,17,26,16,168,56,Matches
Ali Ahmed,ca CAN,FW,Vancouver W'caps,24-207,2000,5.9,362,5,23,119,222,48,362,15,5,33.3,9,60.0,229,1549,819,34,14,19,13,7,280,101,Matches
Forster Ajago,gh GHA,FW,Real Salt Lake,23-262,2001,2.9,61,4,9,26,27,9,61,5,1,20.0,4,80.0,36,130,32,1,1,2,11,4,40,15,Matches
Jordi Alba,es ESP,DF,Inter Miami,36-045,1989,8.4,672,33,195,268,213,22,672,8,5,62.5,3,37.5,389,1484,751,16,10,5,7,4,484,74,Matches
Noah Allen,us USA,DF,Inter Miami,21-007,2004,7.3,542,52,277,229,40,2,542,4,1,25.0,3,75.0,363,2143,1366,3,8,0,4,3,392,8,Matches
Tadeo Allende,ar ARG,"FW,MF",Inter Miami,26-074,1999,4.5,191,7,32,78,81,22,191,17,6,35.3,11,64.7,119,540,288,12,3,9,14,3,145,42,Matches
Miguel Almirón,py PAR,"FW,MF",Atlanta Utd,31-084,1994,9.9,504,1,42,221,245,33,503,29,20,69.0,9,31.0,367,2330,872,25,20,8,22,12,411,73,Matches
Alejandro Alvarado Jr.,us USA,MF,San Diego FC,21-280,2003,2.1,171,0,16,100,56,4,171,4,2,50.0,1,25.0,115,385,210,3,2,0,1,2,134,8,Matches
Fernando Álvarez,co COL,DF,CF Montréal,21-254,2003,4.6,374,36,180,173,22,4,374,2,1,50.0,1,50.0,209,1039,627,1,6,1,6,2,246,0,Matches
Pedro Amador,pt POR,DF,Atlanta Utd,26-138,1998,6.7,389,18,122,168,102,8,389,8,2,25.0,6,75.0,197,698,347,7,5,1,4,0,236,31,Matches
Frankie Amaya,us USA,MF,LAFC,24-221,2000,0.2,16,1,4,6,6,1,16,0,0,,0,,9,32,6,1,0,1,0,0,10,2,Matches
Malte Amundsen,dk DEN,DF,Columbus Crew,27-083,1998,7.2,573,27,213,291,76,5,573,10,6,60.0,4,40.0,326,1388,645,8,10,1,3,3,387,14,Matches
Tomas Ángel,co COL,"FW,MF",San Diego FC,22-074,2003,3.3,112,0,6,54,53,11,112,2,1,50.0,1,50.0,66,329,177,6,2,1,9,4,78,22,Matches
Iván Angulo,co COL,"FW,MF",Orlando City,26-044,1999,9.4,413,13,86,150,188,37,413,34,14,41.2,19,55.9,250,1706,952,32,14,19,19,13,282,82,Matches
